"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.1536560058594","99.1971282958984","99.2399139404297","100","100","100","100","100","100","91.7","100","100","100","100","100","100","100","100","100","93.4","100","100","100","100","100","100","100","100","100","100","100","99.9","",
"Africa Eastern and Southern","AFE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9638817610371","19.9691481976561","21.5802824305799","22.5169624064651","23.7539528416094","23.4873763659564","25.1985269173647","26.8072878709953","25.9475130298827","26.1859124412944","27.4020143563805","28.9115937315653","31.6660384230917","31.7030572419482","31.860474023504","33.9038001286462","38.8546244221511","40.199898068195","43.0171479832647","44.3812594428681","46.2648745577188","48.100862134193","48.7119945935567","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","9.3","14.1","19","23.8","28.7","33.5","38.4","42.4","48.3","42.7","43.2","69.1","68","89.5","71.5","97.7","97.7","93.4","97.7","97.7","97.7","85.3","",
"Africa Western and Central","AFW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5751303452682","32.6096921963953","33.6056679748691","32.6293222407454","32.461796679118","33.4586299235774","34.8104284660219","34.1432102135773","35.2270858865059","35.7006002819033","39.8213041859312","37.4925828901453","37.7842199282472","39.8308297262787","40.7436702730801","41.7413053132896","41.8815592584614","41.8381617761297","45.9148949238898","44.0499000080943","47.0584759639952","47.6625364866446","46.7587390583886","50.906114634764","48.789457473528","51.2110549404709","51.1680826551065","51.7308990685072","54.224724307904","55.4375772541101","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2","20","26.3","27.4","28.4","29.4","30.5","37.5","38.5","33.8","35","34.6","37.3","38.4","32","42","41.8","42.9","45.3","45.6","47","48.2","48.5","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","100","99.6","99.6","99.7","99.9","99.9","100","100","99.9","99.9","100","100","100","100","100","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.9643258346782","77.6235206960992","78.5214088297257","79.1123196438608","81.0997416649668","81.9431337275291","81.9017408311117","82.8890259192908","82.8227847222644","83.5817254471235","85.8041304084982","84.1403761175962","83.8410659276687","84.7228714674542","87.4958029670531","87.7123626631765","87.4018518284057","89.3442514087556","88.8342958618003","89.0475351878897","89.5411657691967","90.6663018742983","89.1692812379426","90.3581538695402","90.6384870529171","90.8493820461976","91.0264045161148","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1548004150391","92.4921875","92.8294525146484","93.1660461425781","93.5012741088867","93.8344650268555","94.1649398803711","94.4920120239258","94.8150024414063","95.1331558227539","95.7","95.5","96.1","96.3","96.5","96.7","97","97.2","97.5","97.8","98.8","99","99.1","99.3","100","99.7","99.9","100","100","100","100","100","100","",
"Armenia","ARM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9","100","98","99.1","99.1","99.8","99.1","99.2","99.2","99.3","99.8","99.5","99.5","99.4","99.7","100","99.8","99.7","99.9","100","100","100","100","",
"American Samoa","ASM","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.7630462646484","95.9406509399414","96.1181335449219","96.2949447631836","96.4703903198242","96.643798828125","96.8144836425781","96.9817733764648","97.1449813842773","97.303352355957","97.7","97.7","100","97.9","97.9","92.2","100","100","100","98.5","98.7","94.6","100","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","98.9","98.6","100","98.8","99","99.1","99.5","99.5","99.7","99.9","99.9","99.9","100","100","100","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9","2.07094931602478","2.5","2.8","3.1","3.4","3.7","3.2","2.7","4.7","4.8","5.4","5.3","6.2","6.5","6.9","7","7.9","8.5","9.3","9.5","9.8","9.1","10.2","10.3","",
"Belgium","BEL","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5","18.5896263122559","19.578254699707","20.5620422363281","21.5","21.9","23.4","24.3","25.2","26.1","27.9","28","29","30","34.2","36.9","38.4","34.7","34.1","29.6","37","34.5","39","40","41","42","56.5","",
"Burkina Faso","BFA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","6.12501001358032","6.62533283233643","7.1229362487793","7.61713981628418","8.10726451873779","6.9","9.1","9.5","9.9","11.4","10.7","11.1","11.6","12","12.5","12.6","13.1","14.8","15.1","15.4","19.2","16.2","16.6","17","14.4","17.6","18.5","19","19.5","",
"Bangladesh","BGD","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.29","9.90541934967041","12.7178802490234","17.8","18.3380451202393","21.1443862915039","22.4","26.7461929321289","29.5402145385742","32","35","37.8","40.5","40.6","44.2","50.5","46.5","54.3","57.1","55.3","59.6","65.5","61.5","62.4","74","75.9","88","86.9","92.2","96.2","99","99.4","",
"Bulgaria","BGR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","88.1","88.6","89.1","89.6","90.1","90.6","91.2","91.7","92.3","92.9","93.5","94.1","94.7","95.3","95.9","96.6","97.3","98.1","98.7","99.2","99.7","99.8","100","",
"Bahrain","BHR","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9413986206055","99.9673919677734","99.9871826171875","99.9971389770508","99.9997711181641","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
