"Data Source","World Development Indicators",

"Last Updated Date","2024-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8282402528978","12.7849096148808","12.5151515151515","14.8003602521765","15.4269972451791","16.657824933687","16.674733785092","17.3832923832924","19.3059433585959","19.7725458898643","20.2263083451202","21.4442013129103","22.3808605054987","22.6422447388932","25.2462121212121","25.0222776688647","25.9150552486188","25.7469077069458","28.1497100685293","28.9891696750902","28.7059226292366","28.7715701349735","29.2745638200184","30.1284472988289","30.4747883695252","30.5236270753512","30.5180591025173",
"Afghanistan","AFG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3092369477912","27.3092369477912","27.6859504132231","27.6859504132231","27.3092369477912","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","27.710843373494","","27.8688524590164","27.0161290322581","27.0161290322581","","",
"Africa Western and Central","AFW","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.81514476614699","7.39587388088751","7.94306703397613","8.95696006203955","10.0685673042223","10.7078692058929","11.1844390413338","12.3098201936376","11.2031700288185","11.143166245943","11.203007518797","11.8590861527729","13.6432350718065","14.7058823529412","15.6141568355309","15.0849150849151","14.84375","15.2791068580542","15.3184713375796","15.398773006135","16.3452708907254","17.824377457405","19.182782283219","20.7677165354331",
"Angola","AGO","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.54545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15.4545454545455","15","15","15","15","37.2727272727273","38.6363636363636","38.6363636363636","38.1818181818182","34.0909090909091","34.0909090909091","36.8181818181818","36.8181818181818","36.8181818181818","30.4545454545455","30.4545454545455","30","30","29.5454545454545","33.6363636363636","33.6363636363636",
"Albania","ALB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.16129032258065","5.16129032258065","5.71428571428571","5.71428571428571","5.71428571428571","6.42857142857143","7.14285714285714","7.14285714285714","7.14285714285714","7.14285714285714","16.4285714285714","16.4285714285714","15.7142857142857","15.7142857142857","17.8571428571429","20","20.7142857142857","22.8571428571429","27.8571428571429","27.8571428571429","29.5081967213115","29.5081967213115","35.7142857142857","35.7142857142857","35.7142857142857",
"Andorra","AND","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.14285714285714","7.14285714285714","7.14285714285714","7.14285714285714","14.2857142857143","14.2857142857143","14.2857142857143","14.2857142857143","28.5714285714286","28.5714285714286","28.5714285714286","25","35.7142857142857","35.7142857142857","50","50","50","50","39.2857142857143","32.1428571428571","32.1428571428571","32.1428571428571","46.4285714285714","46.4285714285714","46.4285714285714","46.4285714285714","50",
"Arab World","ARB","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.74716124148373","3.45744680851064","3.61677568295498","3.77068103116583","4.62126476719944","6.13093176307586","6.04810996563574","6.69304319155952","7.03676649622597","9.34959349593497","9.7537652402582","9.80157781496534","9.90230905861456","11.919671777154","11.3285024154589","14.87204249155","17.3693086003373","17.7934018388318","18.7798408488064","19.2756139915654","18.8840212128199","19.060773480663","17.5665399239544","19.5469585136167","18.2245430809399","18.2462588605933","17.7282377919321",
"United Arab Emirates","ARE","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","5","22.5","22.5","22.5","22.5","17.5","17.5","17.5","17.5","22.5","22.5","22.5","22.5","50","50","50","50","50",
"Argentina","ARG","Proportion of seats held by women in national parliaments (%)","SG.GEN.PARL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.6264591439689","27.6264591439689","","26.4591439688716","","30.7392996108949","30.7392996108949","33.7254901960784","36.1867704280156","35.0194552529183","40","40","38.5214007782101","38.5214007782101","37.3540856031128","37.3540856031128","36.5758754863813","36.5758754863813","","35.7976653696498","38.1322957198444","38.9105058365759","40.1574803149606","40.8560311284047","44.7470817120623","44.7470817120623","43.1906614785992",
