candidate_name,party,age,state,criminal_cases,education,total_assets,liabilities,year
Ayan Mandal,AITC,30,Andaman and Nicobar Islands,0,Graduate,7270440,1500000,2019
C G Saji Kumar,All India Hindustan Congress Party,48,Andaman and Nicobar Islands,0,12th Pass,120000,0,2019
C U Rasheed,IND,34,Andaman and Nicobar Islands,0,12th Pass,202808,1700000,2019
Gour Chandra Majumder,IND,52,Andaman and Nicobar Islands,0,Graduate,6062000,0,2019
Henry,IND,50,Andaman and Nicobar Islands,0,10th Pass,0,0,2019
K Kalimuthu,IND,66,Andaman and Nicobar Islands,0,8th Pass,5850000,0,2019
K Venkat Ram Babu,IND,45,Andaman and Nicobar Islands,0,10th Pass,352000,0,2019
Kuldeep Rai Sharma,INC,52,Andaman and Nicobar Islands,0,Graduate Professional,132233012,80450870,2019
Minati Biswas,IND,51,Andaman and Nicobar Islands,0,8th Pass,3198500,400000,2019
Paritosh Kumar Haldar,IND,61,Andaman and Nicobar Islands,0,Post Graduate,0,0,2019
Prakash Minj,BSP,43,Andaman and Nicobar Islands,0,Post Graduate,1250000,240000,2019
S Sudershan Rao,IND,58,Andaman and Nicobar Islands,0,Doctorate,8760000,8000000,2019
Sanjay Meshack,AAP,49,Andaman and Nicobar Islands,0,12th Pass,99887782,1791076,2019
V V Khalid,IND,51,Andaman and Nicobar Islands,0,8th Pass,1512000,350000,2019
Vishal Jolly,BJP,46,Andaman and Nicobar Islands,1,Graduate Professional,0,0,2019
A. Hemanth,IND,28,Andhra Pradesh,0,5th Pass,50000,0,2019
Abdul Waris,SDPI,58,Andhra Pradesh,4,8th Pass,5110000,0,2019
Adala Prabhakara Reddy,YSRCP,70,Andhra Pradesh,0,12th Pass,2211663364,152281255,2019
Adari Anand Kumar,TDP,43,Andhra Pradesh,0,10th Pass,410547212,205591400,2019
Adinarayana Inty,BJP,67,Andhra Pradesh,1,Post Graduate,0,0,2019
Adiraju Yedla,INC,52,Andhra Pradesh,0,Post Graduate,47214000,3088876,2019
Ahmed Ali Khan,INC,42,Andhra Pradesh,0,12th Pass,158831414,0,2019
Akula Satyanarayana,Janasena Party,55,Andhra Pradesh,0,Post Graduate,673924565,461954372,2019
Alaga Ravi Kumar,IND,49,Andhra Pradesh,0,10th Pass,0,0,2019
Allu Venkata Reddy,Pyramid Party of India,49,Andhra Pradesh,0,Graduate Professional,0,0,2019
Ameen Peeran Shaik,Ambedkar National Congress,48,Andhra Pradesh,0,Post Graduate,83993,9000,2019
Anandsagar Pogru,Samaanya Praja Party,55,Andhra Pradesh,0,8th Pass,4697147,1702000,2019
Andukuri Vijaya Bhaskar,India Praja Bandhu Party,49,Andhra Pradesh,0,Graduate Professional,5000,0,2019
Ankadi Sathibabu,IND,45,Andhra Pradesh,0,Illiterate,50000,0,2019
Anmish Varma,IND,26,Andhra Pradesh,0,Post Graduate,0,0,2019
Anumula Vamsi Krishna,IND,41,Andhra Pradesh,0,Post Graduate,50000,100000,2019
Appala Naidu Tummagonta,IND,38,Andhra Pradesh,0,10th Pass,0,0,2019
Appalakonda Vangalapudi,Mundadugu Praja Party,28,Andhra Pradesh,0,Post Graduate,514707,508707,2019
Araveti Hazarath Rao,Pyramid Party of India,68,Andhra Pradesh,0,Graduate Professional,14924686,180700,2019
Asadi Venkatadri,Rashtriya Krantikari Samajwadi Party,61,Andhra Pradesh,0,12th Pass,0,0,2019
Ashok Gajapathi Raju Pusapati,TDP,67,Andhra Pradesh,0,12th Pass,183534582,0,2019
B Ramesh,Viduthalai Chiruthaigal Katchi,43,Andhra Pradesh,0,Graduate Professional,2124951,398000,2019
B. Jaya Venu Gopal,Pyramid Party of India,30,Andhra Pradesh,0,12th Pass,95000,0,2019
B. Shiva Kumar,IND,40,Andhra Pradesh,0,10th Pass,5237200,627000,2019
B.C. Ramanatha Reddy,IND,54,Andhra Pradesh,1,Graduate,0,0,2019
Balashowry Vallabhaneni,YSRCP,50,Andhra Pradesh,2,Post Graduate,990575840,746310844,2019
Balli Durgaprasad Rao,YSRCP,63,Andhra Pradesh,0,Graduate Professional,17426921,0,2019
Bandaru Rajeswara Rao,Jana Jagruti Party,59,Andhra Pradesh,0,5th Pass,205700,0,2019
Bandreddi Ramakrishna,Janasena Party,44,Andhra Pradesh,0,Post Graduate,100800000,37600000,2019
Beeda Masthan Rao,TDP,60,Andhra Pradesh,0,Graduate,0,0,2019
Bellamkonda Saibabu,Janasena Party,49,Andhra Pradesh,0,Graduate Professional,13866784,2472903,2019
Bellana Chandra Sekhar,YSRCP,57,Andhra Pradesh,4,Graduate Professional,21035766,11130148,2019
Betha Vivekananda Maharaj,IND,33,Andhra Pradesh,0,Graduate,133000,0,2019
Bharat Mathukumilli,TDP,29,Andhra Pradesh,0,Post Graduate,2325373550,9591144,2019
Bhuma Kishor Reddy,IND,35,Andhra Pradesh,0,10th Pass,0,0,2019
Biddika Ramaiah,IND,57,Andhra Pradesh,0,Illiterate,415000,0,2019
Billa Chennaiah,IND,49,Andhra Pradesh,0,12th Pass,2837000,1846848,2019
Bolisetty Hari Babu,IND,60,Andhra Pradesh,1,Illiterate,45608000,10944696,2019
Bommi Srihari Rao,BJP,44,Andhra Pradesh,0,Graduate,1702000,0,2019
Bonaboyina Srinivasa Rao,Janasena Party,50,Andhra Pradesh,1,10th Pass,0,0,2019
Buddala Geetha Devi,Praja Shanthi Party,34,Andhra Pradesh,0,5th Pass,32000,0,2019
Bussa Nagaraju,IND,29,Andhra Pradesh,1,Others,194000,0,2019
Butti Nagaraju,IND,49,Andhra Pradesh,0,Post Graduate,9430000,4073216,2019
C. Punyamurthy,BSP,45,Andhra Pradesh,4,Others,30323800,21635686,2019
C. Surendra Nath Reddy,IND,54,Andhra Pradesh,0,12th Pass,0,0,2019
Chadipirala Adi Narayana Reddy,TDP,61,Andhra Pradesh,0,Post Graduate,30742398,961319,2019
Chadipiralla Siva Narayana Reddy,Navarang Congress Party,53,Andhra Pradesh,0,Others,11320100,591000,2019
Challagali Kishore Kumar,BJP,43,Andhra Pradesh,1,Graduate Professional,3185877,0,2019
Chandra Rajagopal,CPI(M),67,Andhra Pradesh,2,10th Pass,2353200,240000,2019
Cheemala. Rangappa,INC,60,Andhra Pradesh,0,Graduate Professional,0,0,2019
Chevuru Devakumar Reddy,INC,61,Andhra Pradesh,2,12th Pass,73819429,3948741,2019
China Nageswara Rao Sadhu,Mundadugu Praja Party,35,Andhra Pradesh,0,Post Graduate,1259090,196000,2019
Chinnam Rama Kotayya,BJP,58,Andhra Pradesh,0,10th Pass,100961778,7713964,2019
Chinni Venkateswarlu,Pyramid Party of India,67,Andhra Pradesh,0,Literate,1280000,0,2019
Chinta Anuradha,YSRCP,46,Andhra Pradesh,0,Graduate,0,0,2019
Chinta Mohan,INC,64,Andhra Pradesh,0,Graduate Professional,22808300,2007093,2019
Chintala Partha Sarathi,Janasena Party,56,Andhra Pradesh,0,Post Graduate,335308506,110928567,2019
D. Mahammad Rafi,B. C. United Front,29,Andhra Pradesh,0,10th Pass,50000,190000,2019
D. P. Jamal Basha,Anna YSR Congress Party,48,Andhra Pradesh,0,10th Pass,450000,70000,2019
D.A. Sathya Prabha,TDP,68,Andhra Pradesh,0,12th Pass,0,0,2019
Daggubati Purandeswari,BJP,58,Andhra Pradesh,0,Graduate,324038450,34949036,2019
Dandu Seshu Yadav,SP,39,Andhra Pradesh,0,Graduate Professional,1950000,0,2019
Dasari Kiran Babu,IND,37,Andhra Pradesh,0,8th Pass,5980980,2645782,2019
Dasari Krishna Murthy,India Praja Bandhu Party,32,Andhra Pradesh,0,10th Pass,703000,153000,2019
Devarapogu Maddilety,IND,45,Andhra Pradesh,1,10th Pass,0,0,2019
Dhanalakoti Ramana,IND,29,Andhra Pradesh,0,Post Graduate,860000,0,2019
Dileep Kilaru,BJP,48,Andhra Pradesh,0,Graduate Professional,1369017847,4262122,2019
Doctor Daggumati Sreehari Rao,BSP,52,Andhra Pradesh,0,Graduate Professional,6045000,5279699,2019
Dola Jagan Mohana Rao,INC,53,Andhra Pradesh,0,Post Graduate,12390000,3846000,2019
Donam Neelakantam,All India Praja Party,49,Andhra Pradesh,0,Post Graduate,0,0,2019
Doppalapudi Veera Das,IND,60,Andhra Pradesh,0,Graduate,5990000,880000,2019
Dr Gandi Venkata Satyanarayana Rao,BJP,65,Andhra Pradesh,0,Post Graduate,57688924,9497894,2019
Dr Sanjeev Kumar,YSRCP,52,Andhra Pradesh,0,Post Graduate,325914387,62070621,2019
Dr Sirivella Prasad,INC,51,Andhra Pradesh,0,Doctorate,2069078,0,2019
Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,54,Andhra Pradesh,0,Doctorate,0,0,2019
Dr. Lakshmi Kantha Reddy Chitla,IND,34,Andhra Pradesh,0,Doctorate,170000,90000,2019
Dr. S. Suresh Babu,IND,42,Andhra Pradesh,0,Doctorate,9550548,0,2019
Dr.Beesetti Venkata Satyavathi,YSRCP,52,Andhra Pradesh,0,Graduate Professional,91526244,11139279,2019
Durgampudi Rami Reddy,IND,66,Andhra Pradesh,0,Illiterate,1945300,70000,2019
Durgaprasad. Guntu,IND,51,Andhra Pradesh,0,Post Graduate,0,0,2019
Elluri Bhupal,IND,39,Andhra Pradesh,0,Graduate,20000,20000,2019
G S Raju,SP,51,Andhra Pradesh,0,10th Pass,1700000,0,2019
G Sanjeeva Kumar,Samajwadi Forward Bloc,38,Andhra Pradesh,0,10th Pass,160000,0,2019
G. Lalitha,SUCI(C),56,Andhra Pradesh,0,Graduate,1279676,0,2019
Gaddala Venu,IND,28,Andhra Pradesh,0,Graduate,0,0,2019
Gadde Haribabu,Navodayam Party,40,Andhra Pradesh,0,Graduate,20000,100000,2019
Gampala Somasundaram,IND,76,Andhra Pradesh,0,Graduate,3340000,0,2019
Gandhi Dhanekula,IND,70,Andhra Pradesh,0,10th Pass,1530000,700000,2019
Gandhi Dhanekula,IND,71,Andhra Pradesh,0,10th Pass,10590000,800000,2019
Ganji Purnima,RPI(A),35,Andhra Pradesh,0,Graduate,0,0,2019
Gannu Mallayya,IND,70,Andhra Pradesh,0,Graduate,2113580,0,2019
Ganti Harish Madhur,TDP,30,Andhra Pradesh,0,Graduate Professional,73049918,1537488,2019
Geddam David Nelson Babu,Ambedkarite Party of India,60,Andhra Pradesh,1,Post Graduate,5020544,760000,2019
Gella Nagamalli,IND,34,Andhra Pradesh,0,Graduate Professional,448500,465000,2019
George Bangari,Viduthalai Chiruthaigal Katchi,46,Andhra Pradesh,0,Graduate Professional,0,0,2019
Giddama Ranganayakulu,Vishwa Jana Party,43,Andhra Pradesh,0,Post Graduate,661000,0,2019
Goddeti Madhavi,YSRCP,26,Andhra Pradesh,0,Graduate Professional,141179,0,2019
Godugu Satyanarayana,CPI(ML)(L),40,Andhra Pradesh,0,Graduate,28000,0,2019
Gogula Pulakunta Jayanth,IND,61,Andhra Pradesh,0,Graduate,3196142,16710,2019
Golla Baburao,IND,46,Andhra Pradesh,0,Post Graduate,0,0,2019
Gollu Krishna,INC,55,Andhra Pradesh,5,Others,8795000,11400000,2019
Gona Purushottam Reddy,IND,40,Andhra Pradesh,4,Graduate,22473647,9206703,2019
Gottumukkala Shivaji,IND,48,Andhra Pradesh,0,Post Graduate,8084000,0,2019
Govinda Rao Lagudu,Jana Jagruti Party,40,Andhra Pradesh,0,Doctorate,280456,0,2019
Gudivaka Ramanjaneyulu,BJP,57,Andhra Pradesh,0,Graduate,0,0,2019
Gudivaka Venkata Naga Basava Rao,IND,26,Andhra Pradesh,0,12th Pass,10375500,1830000,2019
Gujjula Eswaraiah,CPI,50,Andhra Pradesh,1,Post Graduate,327881,100000,2019
Gundlakunta Sreeramulu,INC,42,Andhra Pradesh,0,12th Pass,16452000,1130000,2019
Gurugubilli Rambabu,Marxist Communist Party of India (United),52,Andhra Pradesh,0,5th Pass,30000,0,2019
Gurunadha Rao Jetti,INC,55,Andhra Pradesh,0,Graduate,0,0,2019
Hamsa Devineni,BJP,33,Andhra Pradesh,0,Post Graduate,8762212,1700000,2019
Hatcholi Thomas,IND,47,Andhra Pradesh,0,10th Pass,2752615,238020,2019
I.V. Pakkir Reddy,IND,70,Andhra Pradesh,2,Graduate,10948558,390264,2019
Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi,51,Andhra Pradesh,2,Post Graduate,3073000,0,2019
Jagadeesh Devaragudi,CPI,58,Andhra Pradesh,9,8th Pass,0,0,2019
Jakku Chenna Krishna Reddy,IND,44,Andhra Pradesh,1,10th Pass,24746957,12380000,2019
Janga Goutham,INC,49,Andhra Pradesh,0,Graduate,14768500,0,2019
Jayadev Galla,TDP,53,Andhra Pradesh,0,Graduate,3051485242,203452417,2019
Jayaprakash Narayana Valluru,BJP,44,Andhra Pradesh,0,Graduate Professional,39526187,0,2019
Jayaram Duggani,BJP,70,Andhra Pradesh,0,Graduate,0,0,2019
Jeldi Raja Mohan,All India Praja Party,61,Andhra Pradesh,0,12th Pass,4209000,30000,2019
Jestadi Sudhakar,IND,38,Andhra Pradesh,1,10th Pass,462788,0,2019
Jesudasu Seelam,INC,67,Andhra Pradesh,0,Post Graduate,126397634,8342498,2019
Josyula China Venkata Suryanarayana,Pyramid Party of India,62,Andhra Pradesh,0,Graduate,12035000,2500000,2019
