State_Name,Constituency_No,Constituency_Name,Candidate,Sex,Party
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,M,INC
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,M,BJP
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,M,AAAP
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,PRAKASH MINJ,M,BSP
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,AYAN MANDAL,M,AITC
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,HENRY,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,K VENKAT RAM BABU,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,MINATI BISWAS,F,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,S SUDERSHAN RAO,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,V V KHALID,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,K KALIMUTHU,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,C U RASHEED,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,GOUR CHANDRA MAJUMDER,M,IND
Andaman_&_Nicobar_Islands,1,ANDAMAN & NICOBAR ISLANDS,C G SAJI KUMAR,M,AINHCP
Andhra_Pradesh,1,ARUKU,GODDETI. MADHAVI,F,YSRCP
Andhra_Pradesh,1,ARUKU,KISHORE CHANDRA DEO,M,TDP
Andhra_Pradesh,1,ARUKU,GANGULAIAH VAMPURU.,M,JnP
Andhra_Pradesh,1,ARUKU,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,M,BJP
Andhra_Pradesh,1,ARUKU,SHRUTI DEVI VYRICHERLA,F,INC
Andhra_Pradesh,1,ARUKU,KANGALA BALUDORA,M,IND
Andhra_Pradesh,1,ARUKU,NARAVA SATYAVATHI,F,IND
Andhra_Pradesh,1,ARUKU,ANUMULA VAMSIKRISHNA,M,IND
Andhra_Pradesh,1,ARUKU,BIDDIKA RAMAYYA.,M,IND
Andhra_Pradesh,1,ARUKU,SWAMULA. SUBRAHMANYAM,M,JAJGP
Andhra_Pradesh,2,SRIKAKULAM,KINJARAPU RAM MOHAN NAIDU,M,TDP
Andhra_Pradesh,2,SRIKAKULAM,DUVVADA SRINIVAS,M,YSRCP
Andhra_Pradesh,2,SRIKAKULAM,METTA RAMARAO,M,JnP
Andhra_Pradesh,2,SRIKAKULAM,DOLA JAGAN,M,INC
Andhra_Pradesh,2,SRIKAKULAM,PERLA SAMBA MURTHY,M,BJP
Andhra_Pradesh,2,SRIKAKULAM,NAIDUGARI RAJASEKHAR,M,IND
