State,Constituency_No,Constituency,Party,Candidate Name,Gender,Age
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,V.K. ABDUL AZIZ,M,42
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,USHA KUMARI,F,39
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,RINKU MALA MONDAL,F,36
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Indian National Congress,KULDEEP RAI SHARMA,M,56
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,ANAND RAMNATH ARLEKAR,M,58
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Independent,K VENKAT RAM BABU,M,50
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Socialist Unity Centre Of India (COMMUNIST),SALAMAT MONDAL,M,48
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,All India Anna Dravida Munnetra Kazhagam,K J B SELVARAJ,M,50
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Andaman Nicobar Democratic Congress,MANOJ PAUL,M,35
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Communist Party of India  (Marxist),D AYYAPPAN,M,60
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Bahujan Samaj Party,DR ARUN KUMAR MALLIK,M,64
Andaman & Nicobar Islands,1,Andaman & Nicobar Islands,Bharatiya Janata Party,BISHNU PADA RAY,M,73
Andhra Pradesh,1,Araku (ST),Bharatiya Janata Party,KOTHAPALLI GEETHA,F,53
Andhra Pradesh,1,Araku (ST),Independent,SAMAREDDY BALAKRISHNA,M,48
Andhra Pradesh,1,Araku (ST),Independent,ATHIDHI,F,32
Andhra Pradesh,1,Araku (ST),Independent,MANDALA GIRIDHARA RAO,M,42
Andhra Pradesh,1,Araku (ST),Bharat Adivasi Party,MOTTADAM . RAJABABU,M,47
Andhra Pradesh,1,Araku (ST),India Praja Bandhu Party,VUYAKA NIREEKSHAN  (V. CHENCHU),M,43
Andhra Pradesh,1,Araku (ST),Independent,NIMMAKA JAYARAJU,M,64
