state,type,population_total,male,female,male_literates,female_literates,total_literates,male_sc,female_sc,total_sc,male_st,female_st,total_st
Andaman and Nicobar Islands,Rural,237093,126287,110806,99960,78065,178025,0,0,0,13837,12878,26715
Andaman and Nicobar Islands,Urban,143488,76584,66904,64417,51839,116256,0,0,0,894,921,1815
Andaman and Nicobar Islands,Total,380581,202871,177710,164377,129904,294281,0,0,0,14731,13799,28530
Arunachal Pradesh,Rural,1066358,546011,520347,309390,226512,535902,0,0,0,390625,399221,789846
Arunachal Pradesh,Urban,317369,167901,149468,130478,99625,230103,0,0,0,77765,84210,161975
Arunachal Pradesh,Total,1383727,713912,669815,439868,326137,766005,0,0,0,468390,483431,951821
Assam,Rural,26807034,13678989,13128045,8706193,6979243,15685436,938664,887097,1825761,1847326,1818079,3665405
Assam,Urban,4398542,2260454,2138088,1862446,1630095,3492541,206650,198910,405560,109679,109287,218966
Assam,Total,31205576,15939443,15266133,10568639,8609338,19177977,1145314,1086007,2231321,1957005,1927366,3884371
Bihar,Rural,92341436,48073850,44267586,27241830,17570322,44812152,7964360,7379855,15344215,648535,622316,1270851
Bihar,Urban,11758016,6204307,5553709,4366193,3326208,7692401,641893,581217,1223110,33981,31741,65722
Bihar,Total,104099452,54278157,49821295,31608023,20896530,52504553,8606253,7961072,16567325,682516,654057,1336573
Chandigarh,Rural,28991,17150,11841,12752,7209,19961,2776,2198,4974,0,0,0
Chandigarh,Urban,1026459,563513,462946,452594,332883,785477,103580,90532,194112,0,0,0
Chandigarh,Total,1055450,580663,474787,465346,340092,805438,106356,92730,199086,0,0,0
Chhattisgarh,Rural,19607961,9797426,9810535,6403012,4605944,11008956,1258559,1253390,2511949,3577134,3653948,7231082
Chhattisgarh,Urban,5937237,3035469,2901768,2404881,1966085,4370966,383179,379141,762320,296057,295763,591820
Chhattisgarh,Total,25545198,12832895,12712303,8807893,6572029,15379922,1641738,1632531,3274269,3873191,3949711,7822902
Dadra and Nagar Haveli and Daman and Diu,Rural,183114,98305,84809,64050,35092,99142,771,525,1296,75049,75895,150944
Dadra and Nagar Haveli and Daman and Diu,Urban,160595,95455,65140,78471,45617,124088,2568,2322,4890,13795,13825,27620
Dadra and Nagar Haveli and Daman and Diu,Total,343709,193760,149949,142521,80709,223230,3339,2847,6186,88844,89720,178564
Daman and Diu,Rural,60396,32395,28001,25529,17560,43089,1108,1059,2167,3843,3774,7617
Daman and Diu,Urban,182851,117906,64945,99114,46203,145317,2043,1914,3957,3928,3818,7746
Daman and Diu,Total,243247,150301,92946,124643,63763,188406,3151,2973,6124,7771,7592,15363
Delhi,Rural,419042,226321,192721,174327,122273,296600,43818,38365,82183,0,0,0
Delhi,Urban,16368899,8761005,7607894,7020529,5420638,12441167,1444982,1285144,2730126,0,0,0
Delhi,Total,16787941,8987326,7800615,7194856,5542911,12737767,1488800,1323509,2812309,0,0,0
Goa,Rural,551731,275436,276295,227143,204128,431271,4634,4827,9461,43263,44376,87639
Goa,Urban,906814,463704,443110,388680,345536,734216,7993,7995,15988,29685,31951,61636
Goa,Total,1458545,739140,719405,615823,549664,1165487,12627,12822,25449,72948,76327,149275
Gujarat,Rural,34694609,17799159,16895450,12467643,8953199,21420842,1176107,1105466,2281573,4042691,3979157,8021848
Gujarat,Urban,25745083,13692101,12052982,11007230,8665286,19672516,934224,858650,1792874,458698,436628,895326
Gujarat,Total,60439692,31491260,28948432,23474873,17618485,41093358,2110331,1964116,4074447,4501389,4415785,8917174
Haryana,Rural,16509359,8774006,7735353,6140099,4018343,10158442,1973294,1746815,3720109,0,0,0
Haryana,Urban,8842103,4720728,4121375,3653968,2786578,6440546,736362,657144,1393506,0,0,0
Haryana,Total,25351462,13494734,11856728,9794067,6804921,16598988,2709656,2403959,5113615,0,0,0
Himachal Pradesh,Rural,6176050,3110345,3065705,2437821,2033915,4471736,812072,794463,1606535,186896,187496,374392
Himachal Pradesh,Urban,688552,371528,317024,314769,253231,568000,64228,58489,122717,9222,8512,17734
Himachal Pradesh,Total,6864602,3481873,3382729,2752590,2287146,5039736,876300,852952,1729252,196118,196008,392126
Jammu and Kashmir,Rural,9108060,4774477,4333583,2891749,1856201,4747950,392981,358045,751026,730075,676758,1406833
Jammu and Kashmir,Urban,3433242,1866185,1567057,1372922,946361,2319283,93251,80714,173965,46182,40284,86466
Jammu and Kashmir,Total,12541302,6640662,5900640,4264671,2802562,7067233,486232,438759,924991,776257,717042,1493299
Jharkhand,Rural,25055073,12776486,12278587,7682731,4960347,12643078,1612513,1540350,3152863,3928323,3939827,7868150
Jharkhand,Urban,7933061,4153829,3779232,3199788,2485203,5684991,430945,401836,832781,387084,389808,776892
Jharkhand,Total,32988134,16930315,16057819,10882519,7445550,18328069,2043458,1942186,3985644,4315407,4329635,8645042
Karnataka,Rural,37469335,18929354,18539981,12893437,9755739,22649176,3771506,3724257,7495763,1723762,1706029,3429791
Karnataka,Urban,23625962,12037303,11588659,9615034,8383112,17998146,1493039,1486190,2979229,410992,408204,819196
Karnataka,Total,61095297,30966657,30128640,22508471,18138851,40647322,5264545,5210447,10474992,2134754,2114233,4248987
Kerala,Rural,17471135,8408054,9063081,7132430,7416890,14549320,883819,934462,1818281,213208,219884,433092
Kerala,Urban,15934926,7619358,8315568,6572473,7014031,13586504,593989,627303,1221292,24995,26752,51747
Kerala,Total,33406061,16027412,17378649,13704903,14430921,28135824,1477808,1561765,3039573,238203,246636,484839
Lakshadweep,Rural,14141,7243,6898,5949,5339,11288,0,0,0,6752,6711,13463
Lakshadweep,Urban,50332,25880,24452,22074,19191,41265,0,0,0,23763,23894,47657
Lakshadweep,Total,64473,33123,31350,28023,24530,52553,0,0,0,30515,30605,61120
Madhya Pradesh,Rural,52557404,27149388,25408016,17054982,11227004,28281986,4311490,3956512,8268002,7187769,7089105,14276874
Madhya Pradesh,Urban,20069405,10462918,9606487,8119346,6449837,14569183,1597148,1477170,3074318,531635,508275,1039910
Madhya Pradesh,Total,72626809,37612306,35014503,25174328,17676841,42851169,5908638,5433682,11342320,7719404,7597380,15316784
Maharashtra,Rural,61556074,31539034,30017040,23391475,18091286,41482761,3825053,3669766,7494819,4540456,4465621,9006077
Maharashtra,Urban,50818259,26704022,24114237,21866109,18205420,40071529,2942706,2838373,5781079,774569,729567,1504136
Maharashtra,Total,112374333,58243056,54131277,45257584,36296706,81554290,6767759,6508139,13275898,5315025,5195188,10510213
Manipur,Rural,1736236,878469,857767,630291,512273,1142564,24126,23437,47563,396464,394662,791126
Manipur,Urban,834154,411702,422452,329724,295893,625617,24588,24891,49479,54423,57191,111614
Manipur,Total,2570390,1290171,1280219,960015,808166,1768181,48714,48328,97042,450887,451853,902740
Meghalaya,Rural,2371439,1194260,1177179,675636,639518,1315154,6086,5487,11573,1070557,1066334,2136891
Meghalaya,Urban,595450,297572,297878,238243,231608,469851,3071,2711,5782,199171,219799,418970
Meghalaya,Total,2966889,1491832,1475057,913879,871126,1785005,9157,8198,17355,1269728,1286133,2555861
Mizoram,Rural,525435,269135,256300,195400,167934,363334,209,89,298,257987,249480,507467
Mizoram,Urban,571771,286204,285567,243129,241712,484841,598,322,920,258307,270341,528648
Mizoram,Total,1097206,555339,541867,438529,409646,848175,807,411,1218,516294,519821,1036115
Nagaland,Rural,1407536,725472,682064,484021,412642,896663,0,0,0,665351,641487,1306838
Nagaland,Urban,570966,299177,271789,239936,205835,445771,0,0,0,200676,203459,404135
Nagaland,Total,1978502,1024649,953853,723957,618477,1342434,0,0,0,866027,844946,1710973
Odisha,Rural,34970562,17586203,17384359,12154552,9223363,21377915,3127719,3090923,6218642,4428522,4566445,8994967
Odisha,Urban,7003656,3625933,3377723,2935129,2429551,5364680,490089,479732,969821,299210,296579,595789
Odisha,Total,41974218,21212136,20762082,15089681,11652914,26742595,3617808,3570655,7188463,4727732,4863024,9590756
Puducherry,Rural,395200,194907,200293,150490,130392,280882,53793,56632,110425,0,0,0
Puducherry,Urban,852753,417604,435149,346888,329539,676427,41719,44181,85900,0,0,0
Puducherry,Total,1247953,612511,635442,497378,459931,957309,95512,100813,196325,0,0,0
Punjab,Rural,17344192,9093476,8250716,6158807,4838850,10997657,3396329,3100657,6496986,0,0,0
Punjab,Urban,10399146,5545989,4853157,4277249,3432231,7709480,1243546,1119647,2363193,0,0,0
Punjab,Total,27743338,14639465,13103873,10436056,8271081,18707137,4639875,4220304,8860179,0,0,0
Rajasthan,Rural,51500352,26641747,24858605,16904589,9567197,26471786,4958563,4578400,9536963,4454816,4238307,8693123
Rajasthan,Urban,17048085,8909250,8138835,6783823,5019673,11803496,1397001,1287629,2684630,288127,257284,545411
Rajasthan,Total,68548437,35550997,32997440,23688412,14586870,38275282,6355564,5866029,12221593,4742943,4495591,9238534
Sikkim,Rural,456999,242797,214202,184245,137685,321930,10496,9839,20335,86059,81087,167146
Sikkim,Urban,153578,80273,73305,67024,55998,123022,3958,3982,7940,19202,20012,39214
Sikkim,Total,610577,323070,287507,251269,193683,444952,14454,13821,28275,105261,101099,206360
Tamil Nadu,Rural,37229590,18679065,18550525,13665839,10836356,24502195,4736003,4739472,9475475,333178,327102,660280
Tamil Nadu,Urban,34917440,17458910,17458530,14374652,12960660,27335312,2468684,2494286,4962970,67890,66527,134417
Tamil Nadu,Total,72147030,36137975,36009055,28040491,23797016,51837507,7204687,7233758,14438445,401068,393629,794697
Tripura,Rural,2712464,1387173,1325291,1081503,911270,1992773,224498,213495,437993,563908,553658,1117566
Tripura,Urban,961453,487203,474250,419866,392144,812010,109872,107053,216925,24419,24828,49247
Tripura,Total,3673917,1874376,1799541,1501369,1303414,2804783,334370,320548,654918,588327,578486,1166813
Uttar Pradesh,Rural,155317278,80992995,74324283,51793688,33490992,85284680,18663920,17021307,35685227,526315,504761,1031076
Uttar Pradesh,Urban,44495063,23487515,21007548,16441276,12671599,29112875,3013055,2659326,5672381,54768,48429,103197
Uttar Pradesh,Total,199812341,104480510,95331831,68234964,46162591,114397555,21676975,19680633,41357608,581083,553190,1134273
Uttarakhand,Rural,7036954,3519042,3517912,2596171,2017879,4614050,761103,735562,1496665,134691,130128,264819
Uttarakhand,Urban,3049338,1618731,1430607,1267537,999366,2266903,207483,188368,395851,13978,13106,27084
Uttarakhand,Total,10086292,5137773,4948519,3863708,3017245,6880953,968586,923930,1892516,148669,143234,291903
West Bengal,Rural,62183113,31844945,30338168,21848197,17365582,39213779,8764294,8330813,17095107,2428057,2427058,4855115
West Bengal,Urban,29093002,14964082,14128920,11970613,10353889,22324502,2239010,2129153,4368163,221917,219921,441838
West Bengal,Total,91276115,46809027,44467088,33818810,27719471,61538281,11003304,10459966,21463270,2649974,2646979,5296953
