state,number_of_households,population,males,female,child_population_pct,literacy_pct,sex-ratio,category
Andaman and Nicobar Islands,,,,,,,,SC
Andaman and Nicobar Islands,6910.0,28530.0,14731.0,13799.0,13.47,75.58,937.0,ST
Andhra Pradesh,3429973.0,13878078.0,6913047.0,6965031.0,11.17,62.28,1008.0,SC
Andhra Pradesh,1417289.0,5918073.0,2969362.0,2948711.0,13.03,49.21,993.0,ST
Arunachal Pradesh,,,,,,,,SC
Arunachal Pradesh,176394.0,951821.0,468390.0,483431.0,15.86,64.58,1032.0,ST
Assam,468568.0,2231321.0,1145314.0,1086007.0,13.29,76.99,948.0,SC
Assam,755194.0,3884371.0,1957005.0,1927366.0,14.12,72.06,985.0,ST
Bihar,251749.0,1336573.0,682516.0,654057.0,18.7,51.08,958.0,ST
Bihar,3073109.0,16567325.0,8606253.0,7961072.0,21.02,48.65,925.0,SC
Chandigarh,40694.0,199086.0,106356.0,92730.0,13.32,76.45,872.0,SC
Chandigarh,,,,,,,,ST
Chhattisgarh,1743277.0,7822902.0,3873191.0,3949711.0,15.33,59.09,1020.0,ST
Chhattisgarh,749457.0,3274269.0,1641738.0,1632531.0,15.47,70.76,994.0,SC
Dadra and Nagar Haveli,1353.0,6186.0,3339.0,2847.0,12.42,89.42,853.0,SC
Dadra and Nagar Haveli,32640.0,178564.0,88844.0,89720.0,16.01,61.85,1010.0,ST
Daman and Diu,3198.0,15363.0,7771.0,7592.0,11.54,78.79,977.0,ST
Daman and Diu,1288.0,6124.0,3151.0,2973.0,9.98,92.56,944.0,SC
Delhi,,,,,,,,ST
Delhi,527307.0,2812309.0,1488800.0,1323509.0,12.79,78.89,889.0,SC
Goa,5545.0,25449.0,12627.0,12822.0,10.44,83.73,1015.0,SC
Goa,32067.0,149275.0,72948.0,76327.0,9.99,79.14,1046.0,ST
Gujarat,1699510.0,8917174.0,4501389.0,4415785.0,15.85,62.48,981.0,ST
Gujarat,817281.0,4074447.0,2110331.0,1964116.0,12.13,79.18,931.0,SC
Haryana,,,,,,,,ST
Haryana,992096.0,5113615.0,2709656.0,2403959.0,14.87,66.85,887.0,SC
Himachal Pradesh,80678.0,392126.0,196118.0,196008.0,12.22,73.64,999.0,ST
Himachal Pradesh,358212.0,1729252.0,876300.0,852952.0,12.54,78.92,973.0,SC
Jammu and Kashmir,183020.0,924991.0,486232.0,438759.0,13.7,70.16,902.0,SC
Jammu and Kashmir,260401.0,1493299.0,776257.0,717042.0,20.3,50.56,924.0,ST
Jharkhand,753644.0,3985644.0,2043458.0,1942186.0,18.29,55.89,950.0,SC
Jharkhand,1699215.0,8645042.0,4315407.0,4329635.0,16.97,57.13,1003.0,ST
Karnataka,875742.0,4248987.0,2134754.0,2114233.0,13.19,62.08,990.0,ST
Karnataka,2178501.0,10474992.0,5264545.0,5210447.0,12.97,65.33,990.0,SC
Kerala,725582.0,3039573.0,1477808.0,1561765.0,9.43,88.73,1057.0,SC
Kerala,119788.0,484839.0,238203.0,246636.0,11.23,75.81,1035.0,ST
Lakshadweep,10665.0,61120.0,30515.0,30605.0,11.54,91.7,1003.0,ST
Lakshadweep,,,,,,,,SC
Madhya Pradesh,3122061.0,15316784.0,7719404.0,7597380.0,18.46,50.55,984.0,ST
Madhya Pradesh,2402342.0,11342320.0,5908638.0,5433682.0,15.51,66.16,920.0,SC
Maharashtra,2898245.0,13275898.0,6767759.0,6508139.0,12.2,79.66,962.0,SC
Maharashtra,2156957.0,10510213.0,5315025.0,5195188.0,14.78,65.73,977.0,ST
Manipur,214636.0,1167422.0,588279.0,579143.0,13.21,72.58,984.0,ST
Manipur,20349.0,97328.0,48863.0,48465.0,12.92,76.09,992.0,SC
Meghalaya,460775.0,2555861.0,1269728.0,1286133.0,19.86,74.53,1013.0,ST
Meghalaya,3533.0,17355.0,9157.0,8198.0,13.66,68.57,895.0,SC
Mizoram,274.0,1218.0,807.0,411.0,9.93,92.43,509.0,SC
Mizoram,209154.0,1036115.0,516294.0,519821.0,15.5,91.51,1007.0,ST
Nagaland,,,,,,,,SC
Nagaland,334967.0,1710973.0,866027.0,844946.0,14.86,80.04,976.0,ST
Orissa,2163110.0,9590756.0,4727732.0,4863024.0,15.86,52.24,1029.0,ST
Orissa,1669787.0,7188463.0,3617808.0,3570655.0,13.26,69.02,987.0,SC
Puducherry,,,,,,,,ST
Puducherry,45409.0,196325.0,95512.0,100813.0,11.71,77.9,1056.0,SC
Punjab,,,,,,,,ST
Punjab,1717888.0,8860179.0,4639875.0,4220304.0,12.8,64.81,910.0,SC
Rajasthan,1787715.0,9238534.0,4742943.0,4495591.0,18.4,52.8,948.0,ST
Rajasthan,2279366.0,12221593.0,6355564.0,5866029.0,16.6,59.75,923.0,SC
Sikkim,5930.0,28275.0,14454.0,13821.0,12.44,77.54,956.0,SC
Sikkim,44299.0,206360.0,105261.0,101099.0,10.62,79.74,960.0,ST
Tamil Nadu,196373.0,794697.0,401068.0,393629.0,13.08,54.34,981.0,ST
Tamil Nadu,3591953.0,14438445.0,7204687.0,7233758.0,11.02,73.26,1004.0,SC
Tripura,154112.0,654918.0,334370.0,320548.0,11.77,89.45,959.0,SC
Tripura,257119.0,1166813.0,588327.0,578486.0,15.03,79.05,983.0,ST
Uttar Pradesh,187688.0,1134273.0,581083.0,553190.0,18.21,55.68,952.0,ST
Uttar Pradesh,7375437.0,41357608.0,21676975.0,19680633.0,16.81,60.89,908.0,SC
Uttarakhand,51888.0,291903.0,148669.0,143234.0,11.84,73.88,963.0,ST
Uttarakhand,363305.0,1892516.0,968586.0,923930.0,15.2,74.41,954.0,SC
West Bengal,1160069.0,5296953.0,2649974.0,2646979.0,13.17,57.93,999.0,ST
West Bengal,4861303.0,21463270.0,11003304.0,10459966.0,11.91,69.43,951.0,SC
