constituency,category,state,winning_candidate,party,electors,votes,turnout_pct,margin,margin_pct,year
Adilabad,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,1382837,1063730,77.9,58560.0,5.5,2019
Agra,SC,Uttar Pradesh [2000 Onwards],Satyapal Singh Baghel,Bharatiya Janta Party,1866262,1145323,61.7,211546.0,18.5,2019
Ahmadnagar,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677,1203797,67.3,281474.0,23.4,2019
Ahmedabad East,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598,1116367,65.7,434330.0,38.9,2019
Ahmedabad West,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673,997024,64.0,321546.0,32.3,2019
Ajmer,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532,1262214,69.0,416424.0,33.0,2019
Akbarpur,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh 'bhole',Bharatiya Janta Party,1714490,1025314,60.3,275142.0,26.8,2019
Akola,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645,1119440,64.2,275596.0,24.6,2019
Alappuzha,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061,1088728,84.3,10474.0,1.0,2019
Alathur,SC,Kerala,Ramya Haridas,Indian National Congress,1219063,1018743,84.2,158968.0,15.6,2019
Aligarh,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,1847005,1163184,63.3,229261.0,19.7,2019
Alipurduars,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563,1380217,91.7,243989.0,17.7,2019
Allahabad,GEN,Uttar Pradesh [2000 Onwards],Rita Bahuguna Joshi,Bharatiya Janta Party,1679883,889056,53.4,184275.0,20.7,2019
Almora,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611,694472,55.1,232986.0,33.5,2019
Alwar,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180,1265674,61.7,329971.0,26.1,2019
Amalapuram,,Andhra Pradesh [2014 Onwards],Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280,1232895,108.1,39795.0,3.2,2019
Ambala,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1757524,1316235,75.3,342345.0,26.0,2019
Ambedkar Nagar,GEN,Uttar Pradesh [2000 Onwards],Ritesh Pandey,Bahujan Samaj Party,1744287,1090152,63.2,95880.0,8.8,2019
Amethi,GEN,Uttar Pradesh [2000 Onwards],Smriti Irani,Bharatiya Janta Party,1703510,942453,55.6,55120.0,5.8,2019
Amravati,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097,1112385,63.8,36951.0,3.3,2019
Amreli,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346,909167,57.8,201431.0,22.2,2019
Amritsar,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1468972,859513,59.1,99626.0,11.6,2019
Amroha,GEN,Uttar Pradesh [2000 Onwards],Kunwar Danish Ali,Bahujan Samaj Party,1596897,1169182,73.6,63248.0,5.4,2019
Anakapalli,,Andhra Pradesh [2014 Onwards],Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335,1238491,91.1,89192.0,7.2,2019
Anand,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,1614307,1108661,69.8,197718.0,17.8,2019
Anandpur Sahib,GEN,Punjab,Manish Tewari,Indian National Congress,1648822,1081727,66.7,46884.0,4.3,2019
Anantapur,,Andhra Pradesh [2014 Onwards],Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,1489758,1342306,91.2,141428.0,10.5,2019
Anantnag,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,1301023,124896,9.7,6676.0,5.3,2019
Andaman And Nicobar Islands,GEN,Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian National Congress,269360,207296,77.5,1407.0,0.7,2019
Aonla,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kashyap,Bharatiya Janta Party,1750190,1052795,60.7,113743.0,10.8,2019
Arakkonam,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,1461110,1178060,81.5,328956.0,27.9,2019
Arambagh,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133,1471981,91.5,1142.0,0.1,2019
Arani,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,1407725,1143907,82.5,230806.0,20.2,2019
Araria,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,1469717,1169630,81.0,137241.0,11.7,2019
Arrah,GEN,Bihar [2000 Onwards],R. K. Singh,Bharatiya Janta Party,2055316,1080684,53.6,147285.0,13.6,2019
Aruku,,Andhra Pradesh [2014 Onwards],Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657,1074538,82.6,224089.0,20.9,2019
Arunachal East,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,335682,293781,89.2,69948.0,23.8,2019
Arunachal West,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,458680,358310,78.5,174843.0,48.8,2019
Asansol,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467,1238135,70.8,197637.0,16.0,2019
Aska,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,1494153,1013862,69.0,204707.0,20.2,2019
Attingal,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675,1004888,76.9,38247.0,3.8,2019
Aurangabad,GEN,Maharashtra,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,1762823,1198221,68.3,4492.0,0.4,2019
Aurangabad,GEN,Bihar [2000 Onwards],Sushil Kumar Singh,Bharatiya Janta Party,1737821,941595,55.5,72607.0,7.7,2019
Autonomous District,ST,Assam,Horen Sing Bey,Bharatiya Janta Party,761744,617735,82.2,239626.0,38.8,2019
Azamgarh,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1773820,1029112,58.4,259874.0,25.3,2019
Badaun,GEN,Uttar Pradesh [2000 Onwards],Dr. Sanghmitra Maurya,Bharatiya Janta Party,2199914,1081108,49.5,18454.0,1.7,2019
Bagalkot,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,1688394,1204613,72.0,168187.0,14.0,2019
Baghpat,GEN,Uttar Pradesh [2000 Onwards],Dr. Satyapal Singh,Bharatiya Janta Party,1558020,1044894,67.4,23502.0,2.2,2019
Baharampur,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1746812,1299997,75.2,80696.0,6.2,2019
Bahraich,SC,Uttar Pradesh [2000 Onwards],Akshaibar Lal,Bharatiya Janta Party,1686646,989848,59.5,128752.0,13.0,2019
Balaghat,GEN,Madhya Pradesh [2000 Onwards],Dr Dhal Singh Bisen,Bharatiya Janta Party,1725505,1372018,79.8,242066.0,17.6,2019
Balasore,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,1471650,1157871,79.2,12956.0,1.1,2019
Ballia,GEN,Uttar Pradesh [2000 Onwards],Virendra Singh,Bharatiya Janta Party,1792821,989732,55.7,15519.0,1.6,2019
Balurghat,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,1543162,1197849,78.5,33293.0,2.8,2019
Banaskantha,GEN,Gujarat,Parbatbhai Savabhai Patel,Bharatiya Janta Party,1512076,1102081,73.7,368296.0,33.4,2019
Banda,GEN,Uttar Pradesh [2000 Onwards],R.K. Singh Patel,Bharatiya Janta Party,1659357,1034549,63.5,58938.0,5.7,2019
Bangalore Cent,GEN,Karnataka,P. C. Mohan,Bharatiya Janta Party,2165307,1197234,55.8,70968.0,5.9,2019
Bangalore Nort,GEN,Karnataka,D.V. Sadananda Gowda,Bharatiya Janta Party,2819424,1559459,55.7,147518.0,9.5,2019
Bangalore Rura,GEN,Karnataka,D.K. Suresh,Indian National Congress,1601076,1621906,102.1,206870.0,12.8,2019
Bangalore Sout,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,2175375,1188491,55.1,331192.0,27.9,2019
Bangaon,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,1618541,1407758,87.4,111594.0,7.9,2019
Banka,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),1687940,995806,59.4,200532.0,20.1,2019
Bankura,GEN,West Bengal,Dr. Subhas Sarkar,Bharatiya Janta Party,1770248,1371855,78.3,174333.0,12.7,2019
Bansgaon,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,1748683,969136,56.2,153468.0,15.8,2019
Banswara,ST,Rajasthan,Kanakmal Katara,Bharatiya Janta Party,1920325,1439671,76.5,305464.0,21.2,2019
Bapatla,,Andhra Pradesh [2014 Onwards],Nandigam Suresh,Yuvajana Sramika Rythu Congress Party,1361646,1266492,94.0,16065.0,1.3,2019
Barabanki,SC,Uttar Pradesh [2000 Onwards],Upendra Singh Rawat,Bharatiya Janta Party,1762832,1155341,66.0,110140.0,9.5,2019
Baramati,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party,2025795,1304728,64.8,155774.0,11.9,2019
Baramulla,,Jammu & Kashmir,Mohammad Akbar Lone,Jammu & Kashmir National Conference,1190745,455550,38.9,30233.0,6.6,2019
Barasat,GEN,West Bengal,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,1882204,1394766,75.1,109983.0,7.9,2019
Bardhaman Purb,SC,West Bengal,Sunil Kumar Mondal,All India Trinamool Congress,1836635,1439286,79.0,89311.0,6.2,2019
Bardoli,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,1779851,1348038,77.0,215447.0,16.0,2019
Bareilly,GEN,Uttar Pradesh [2000 Onwards],Santosh Kumar Gangwar,Bharatiya Janta Party,1760865,1068342,60.9,167282.0,15.7,2019
Bargarh,GEN,Orissa,Suresh Pujari,Bharatiya Janta Party,1530044,1247912,82.5,63939.0,5.1,2019
Barmer,GEN,Rajasthan,Kailash Choudhary,Bharatiya Janta Party,2320339,1422271,62.1,323808.0,22.8,2019
Barpeta,GEN,Assam,Abdul Khaleque,Indian National Congress,1449560,1458549,101.3,140307.0,9.6,2019
Barrackpore,GEN,West Bengal,Arjun Singh,Bharatiya Janta Party,1551157,1104517,72.0,14857.0,1.3,2019
Basirhat,GEN,West Bengal,Nusrat Jahan Ruhi,All India Trinamool Congress,1833511,1433339,78.7,350369.0,24.4,2019
Bastar,ST,Chhattisgarh,Deepak Baij,Indian National Congress,1357443,912846,70.3,38982.0,4.3,2019
Basti,GEN,Uttar Pradesh [2000 Onwards],Harish Chandra Alias Harish Dwivedi,Bharatiya Janta Party,1839900,1054539,57.9,30354.0,2.9,2019
Bathinda,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,1589895,1200810,76.4,21772.0,1.8,2019
Beed,GEN,Maharashtra,Pritam Gopinathrao Munde,Bharatiya Janta Party,1621102,1352399,83.6,168368.0,12.4,2019
Begusarai,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,1942769,1225594,64.1,422217.0,34.4,2019
Belgaum,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,1749746,1205229,69.1,391304.0,32.5,2019
Bellary,ST,Karnataka,Y. Devendrappa,Bharatiya Janta Party,1713330,1221926,71.9,55707.0,4.6,2019
Berhampur,GEN,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,1433671,989910,70.1,94844.0,9.6,2019
Betul,ST,Madhya Pradesh [2000 Onwards],Durga Das (D.D.) UIKEY,Bharatiya Janta Party,1702517,1357857,81.1,360241.0,26.5,2019
Bhadohi,GEN,Uttar Pradesh [2000 Onwards],Ramesh Chand,Bharatiya Janta Party,1886673,1039390,55.6,43615.0,4.2,2019
Bhadrak,SC,Orissa,Manjulata Mandal,Biju Janata Dal,1583464,1223754,77.7,28803.0,2.4,2019
Bhagalpur,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),1811980,1042518,59.3,277630.0,26.6,2019
Bhandara - Gon,GEN,Maharashtra,Sunil Baburao Mendhe,Bharatiya Janta Party,1756518,1244931,71.5,197394.0,15.9,2019
Bharatpur,SC,Rajasthan,Ranjeeta Koli,Bharatiya Janta Party,1897465,1146797,60.7,318399.0,27.8,2019
Bharuch,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,1522113,1149725,76.0,334214.0,29.1,2019
Bhavnagar,GEN,Gujarat,Dr.Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,1734124,1041279,61.0,329519.0,31.6,2019
Bhilwara,GEN,Rajasthan,Subhash Chandra Baheria,Bharatiya Janta Party,1958631,1310513,67.8,612000.0,46.7,2019
Bhind,SC,Madhya Pradesh [2000 Onwards],Sandhya Ray,Bharatiya Janta Party,1711977,960687,56.4,199885.0,20.8,2019
Bhiwandi,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,1785952,1005172,57.2,156329.0,15.6,2019
