 State Name , PC NAME , CANDIDATES NAME , SEX , AGE , CATEGORY , PARTY NAME , PARTY SYMBOL , GENERAL , POSTAL , TOTAL ,OVER TOTAL ELECTORS IN CONSTITUENCY,OVER TOTAL VOTES POLLED IN CONSTITUENCY,Total Electors
Andhra Pradesh,Aruku ,KISHORE CHANDRA DEO,MALE,72.0,ST,TDP,Bicycle,336163,1938,338101,23.294529901103612,31.356893441596682,1451418
Andhra Pradesh,Aruku ,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,MALE,54.0,ST,BJP,Lotus,17578,289,17867,1.2310030604553615,1.6570599173649532,1451418
Andhra Pradesh,Aruku ,GODDETI. MADHAVI,FEMALE,26.0,ST,YSRCP,Ceiling Fan,557561,4629,562190,38.73384510871438,52.13983964534633,1451418
Andhra Pradesh,Aruku ,SHRUTI DEVI VYRICHERLA,FEMALE,46.0,ST,INC,Hand,17656,74,17730,1.2215640153284582,1.6443539673633298,1451418
Andhra Pradesh,Aruku ,GANGULAIAH VAMPURU.,MALE,49.0,ST,JnP,Glass Tumbler,42245,549,42794,2.9484269865745083,3.9688936085361726,1451418
Andhra Pradesh,Aruku ,SWAMULA. SUBRAHMANYAM,MALE,50.0,ST,JAJGP,Mike,4705,5,4710,0.324510237574565,0.4368249964061638,1451418
Andhra Pradesh,Aruku ,ANUMULA VAMSIKRISHNA,MALE,41.0,ST,IND,Helicopter,10211,29,10240,0.705516949631326,0.9497002045008741,1451418
Andhra Pradesh,Aruku ,KANGALA BALUDORA,MALE,61.0,ST,IND,Cup & Saucer,13810,16,13826,0.9525856782815151,1.2822807643973717,1451418
Andhra Pradesh,Aruku ,NARAVA SATYAVATHI,FEMALE,37.0,ST,IND,Bangles,11231,5,11236,0.7741394966853105,1.0420733884542794,1451418
Andhra Pradesh,Aruku ,BIDDIKA RAMAYYA.,MALE,57.0,ST,IND,Battery Torch,7863,4,7867,0.5420216643310197,0.729618311407068,1451418
Andhra Pradesh,Aruku ,NOTA,,,,NOTA,,47955,22,47977,3.3055260441857546,4.4495865929041445,1451418
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,MALE,32.0,GENERAL,TDP,Bicycle,529213,5331,534544,34.401039990732755,45.91174333454151,1553860
Andhra Pradesh,Srikakulam,DOLA JAGAN,MALE,53.0,GENERAL,INC,Hand,13456,289,13745,0.8845713256020491,1.1805518575332865,1553860
Andhra Pradesh,Srikakulam,DUVVADA SRINIVAS,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,520931,6960,527891,33.97288043967925,45.34032016188462,1553860
Andhra Pradesh,Srikakulam,PERLA SAMBA MURTHY,MALE,58.0,GENERAL,BJP,Lotus,7357,1033,8390,0.5399456836523239,0.7206133200948908,1553860
Andhra Pradesh,Srikakulam,MATTA SATISH CHAKRAVARTHY,MALE,37.0,GENERAL,PPOI,FLUTE,1441,7,1448,0.0931872884301031,0.124368067639738,1553860
Andhra Pradesh,Srikakulam,METTA RAMARAO,MALE,53.0,GENERAL,JnP,Glass Tumbler,31319,637,31956,2.0565559316798168,2.744686443021732,1553860
Andhra Pradesh,Srikakulam,NAMBALLA KRISHNA MOHAN,MALE,44.0,GENERAL,IND,Electric Pole,4829,7,4836,0.3112249494806482,0.4153618612608929,1553860
Andhra Pradesh,Srikakulam,NAIDUGARI RAJASEKHAR,MALE,35.0,GENERAL,IND,Helicopter,5151,5,5156,0.3318188253768036,0.44284651709287925,1553860
Andhra Pradesh,Srikakulam,BETHA VIVEKANANDA MAHARAJ,MALE,33.0,GENERAL,IND,Football,3814,4,3818,0.2457106817860039,0.3279262998953865,1553860
Andhra Pradesh,Srikakulam,NOTA,,,,NOTA,,25500,45,25545,1.6439704992727788,2.1940485413377813,1553860
Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,MALE,67.0,GENERAL,TDP,Bicycle,527307,3075,530382,35.265229590819025,43.387408553270404,1503980
Andhra Pradesh,Vizianagaram,Adiraju Yedla,MALE,52.0,GENERAL,INC,Hand,15607,118,15725,1.0455591164776128,1.2863690688978455,1503980
Andhra Pradesh,Vizianagaram,Bellana Chandra Sekhar,MALE,57.0,GENERAL,YSRCP,Ceiling Fan,573466,4952,578418,38.45915504195535,47.31694906796528,1503980
Andhra Pradesh,Vizianagaram,Sanyasi Raju Pakalapati,MALE,60.0,GENERAL,BJP,Lotus,6902,364,7266,0.48311812657083203,0.594388404108855,1503980
Andhra Pradesh,Vizianagaram,P.V.A. Ananda Sagar,MALE,55.0,GENERAL,SAPRP,Electric Pole,4981,2,4983,0.3313208952246705,0.40762970240495794,1503980
Andhra Pradesh,Vizianagaram,Chiranjeevi Lingala,MALE,28.0,GENERAL,ACP,Tooth Brush,1261,2,1263,0.08397718054761366,0.10331854588349627,1503980
Andhra Pradesh,Vizianagaram,Mukka Srinivas Rao,MALE,39.0,GENERAL,JnP,Glass Tumbler,33779,413,34192,2.2734344871607335,2.7970449096187684,1503980
Andhra Pradesh,Vizianagaram,Lagudu. Govinda Rao,MALE,39.0,GENERAL,JAJGP,Mike,787,4,791,0.05259378449181505,0.06470702279797748,1503980
Andhra Pradesh,Vizianagaram,Surya Bhavani. K,FEMALE,38.0,GENERAL,PPOI,FLUTE,822,8,830,0.055186904081171294,0.0678973816969928,1503980
Andhra Pradesh,Vizianagaram,Yella Rao Siyyadula,MALE,37.0,SC,IND,Gas Cylinder,1010,0,1010,0.06715514833973857,0.08262211507706353,1503980
Andhra Pradesh,Vizianagaram,Dhanalakoti Ramana,MALE,29.0,GENERAL,IND,Matchbox,1172,4,1176,0.07819252915597283,0.09620159141646209,1503980
Andhra Pradesh,Vizianagaram,Pentapati Rajesh,MALE,39.0,GENERAL,IND,Battery Torch,1461,1,1462,0.09720873947791858,0.1195975566759078,1503980
Andhra Pradesh,Vizianagaram,Ijjurouthu Ramunaidu,MALE,47.0,GENERAL,IND,Coat,4550,3,4553,0.302730089495871,0.3724539504414557,1503980
Andhra Pradesh,Vizianagaram,Venkata Trindha Rao Veluri,MALE,52.0,GENERAL,IND,Sitar,6336,2,6338,0.4214151783933297,0.5184742231271571,1503980
Andhra Pradesh,Vizianagaram,NOTA,,,,NOTA,,29468,33,29501,1.9615287437332942,2.4133019969192584,1503980
Andhra Pradesh,Visakhapatnam,DAGGUBATI PURANDESWARI,FEMALE,58.0,GENERAL,BJP,Lotus,33430,462,33892,1.8527305526704205,2.7333999504807163,1829300
Andhra Pradesh,Visakhapatnam,PEDADA. RAMANIKUMARI,FEMALE,48.0,GENERAL,INC,Hand,14550,83,14633,0.7999234679932213,1.180155832508684,1829300
Andhra Pradesh,Visakhapatnam,BHARAT MATHUKUMILLI,MALE,29.0,GENERAL,TDP,Bicycle,431093,1399,432492,23.64248619690592,34.88060932914274,1829300
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,MALE,52.0,GENERAL,YSRCP,Ceiling Fan,433968,2938,436906,23.883780681134862,35.236599751113175,1829300
Andhra Pradesh,Visakhapatnam,GEORGE BANGARI,MALE,46.0,SC,VCK,Stool,3027,1,3028,0.16552779751817637,0.24420910687051833,1829300
Andhra Pradesh,Visakhapatnam,B. JAYA VENU GOPAL,MALE,30.0,GENERAL,PPOI,FLUTE,1622,5,1627,0.08894112502049965,0.13121803727818143,1829300
Andhra Pradesh,Visakhapatnam,V.V. LAKSHMI NARAYANA,MALE,53.0,GENERAL,JnP,Glass Tumbler,287072,1802,288874,15.791504947247581,23.297774616286038,1829300
Andhra Pradesh,Visakhapatnam,ANMISH VARMA,MALE,26.0,GENERAL,IND,Bat,1904,11,1915,0.10468485212922977,0.15444532353270893,1829300
Andhra Pradesh,Visakhapatnam,R. UDAYA GOWRI,FEMALE,44.0,GENERAL,IND,DIAMOND,1384,0,1384,0.07565735527250861,0.11162001450092385,1829300
Andhra Pradesh,Visakhapatnam,KOTHAPALLI GEETHA,FEMALE,48.0,GENERAL,IND,Mike,1155,3,1158,0.06330290274968567,0.09339304681507934,1829300
