Candidate Name,Party,Age,Gender,State,Constituency,Constituency_No
V.K. ABDUL AZIZ,Independent,42,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
USHA KUMARI,Independent,39,F,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
RINKU MALA MONDAL,Independent,36,F,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
KULDEEP RAI SHARMA,Indian National Congress,56,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
ANAND RAMNATH ARLEKAR,Independent,58,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
K VENKAT RAM BABU,Independent,50,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST),48,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam,50,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
MANOJ PAUL,Andaman Nicobar Democratic Congress,35,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
D AYYAPPAN,Communist Party of India  (Marxist),60,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
DR ARUN KUMAR MALLIK,Bahujan Samaj Party,64,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
BISHNU PADA RAY,Bharatiya Janata Party,73,M,Andaman & Nicobar Islands,Andaman & Nicobar Islands,1
KOTHAPALLI GEETHA,Bharatiya Janata Party,53,F,Andhra Pradesh,Araku (ST),1
SAMAREDDY BALAKRISHNA,Independent,48,M,Andhra Pradesh,Araku (ST),1
ATHIDHI,Independent,32,F,Andhra Pradesh,Araku (ST),1
MANDALA GIRIDHARA RAO,Independent,42,M,Andhra Pradesh,Araku (ST),1
MOTTADAM . RAJABABU,Bharat Adivasi Party,47,M,Andhra Pradesh,Araku (ST),1
VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,43,M,Andhra Pradesh,Araku (ST),1
NIMMAKA JAYARAJU,Independent,64,M,Andhra Pradesh,Araku (ST),1
APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),41,M,Andhra Pradesh,Araku (ST),1
GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,31,F,Andhra Pradesh,Araku (ST),1
CHANTI BADNAINA,Jai Bharat National Party,28,M,Andhra Pradesh,Araku (ST),1
