#,State,No_HH,Population,Males,Female,Child(0-6),Literacy,Sex-Ratio
-,India,21511528,104545716,52547215,51998501,16.01 %,58.95 %,990
1,Madhya Pradesh,3122061,15316784,7719404,7597380,18.46 %,50.55 %,984
2,Orissa,2163110,9590756,4727732,4863024,15.86 %,52.24 %,1029
3,Maharashtra,2156957,10510213,5315025,5195188,14.78 %,65.73 %,977
4,Rajasthan,1787715,9238534,4742943,4495591,18.40 %,52.80 %,948
5,Chhattisgarh,1743277,7822902,3873191,3949711,15.33 %,59.09 %,1020
6,Gujarat,1699510,8917174,4501389,4415785,15.85 %,62.48 %,981
7,Jharkhand,1699215,8645042,4315407,4329635,16.97 %,57.13 %,1003
8,Andhra Pradesh,1417289,5918073,2969362,2948711,13.03 %,49.21 %,993
9,West Bengal,1160069,5296953,2649974,2646979,13.17 %,57.93 %,999
10,Karnataka,875742,4248987,2134754,2114233,13.19 %,62.08 %,990
11,Assam,755194,3884371,1957005,1927366,14.12 %,72.06 %,985
12,Meghalaya,460775,2555861,1269728,1286133,19.86 %,74.53 %,1013
13,Nagaland,334967,1710973,866027,844946,14.86 %,80.04 %,976
14,Jammu and Kashmir,260401,1493299,776257,717042,20.30 %,50.56 %,924
15,Tripura,257119,1166813,588327,578486,15.03 %,79.05 %,983
16,Bihar,251749,1336573,682516,654057,18.70 %,51.08 %,958
17,Manipur,214636,1167422,588279,579143,13.21 %,72.58 %,984
18,Mizoram,209154,1036115,516294,519821,15.50 %,91.51 %,1007
19,Tamil Nadu,196373,794697,401068,393629,13.08 %,54.34 %,981
20,Uttar Pradesh,187688,1134273,581083,553190,18.21 %,55.68 %,952
21,Arunachal Pradesh,176394,951821,468390,483431,15.86 %,64.58 %,1032
22,Kerala,119788,484839,238203,246636,11.23 %,75.81 %,1035
23,Himachal Pradesh,80678,392126,196118,196008,12.22 %,73.64 %,999
24,Uttarakhand,51888,291903,148669,143234,11.84 %,73.88 %,963
25,Sikkim,44299,206360,105261,101099,10.62 %,79.74 %,960
26,Dadra and Nagar Haveli,32640,178564,88844,89720,16.01 %,61.85 %,1010
27,Goa,32067,149275,72948,76327,9.99 %,79.14 %,1046
28,Lakshadweep,10665,61120,30515,30605,11.54 %,91.70 %,1003
29,Andaman and Nicobar Islands,6910,28530,14731,13799,13.47 %,75.58 %,937
30,Daman and Diu,3198,15363,7771,7592,11.54 %,78.79 %,977
31,Punjab,-,-,-,-,-,-,-
32,Chandigarh,-,-,-,-,-,-,-
33,Haryana,-,-,-,-,-,-,-
34,Delhi,-,-,-,-,-,-,-
35,Puducherry,-,-,-,-,-,-,-
