#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Adilabad,1,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,1382837,1063730,77.9 %,58560,5.5%
2,Agra,18,SC,Uttar Pradesh [2000 Onwards],Satyapal Singh Baghel,Bharatiya Janta Party,1866262,1145323,61.7 %,211546,18.5%
3,Ahmadnagar,37,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,1793677,1203797,67.3 %,281474,23.4%
4,Ahmedabad East,7,GEN,Gujarat,Patel Hasmukhbhai Somabhai,Bharatiya Janta Party,1713598,1116367,65.7 %,434330,38.9%
5,Ahmedabad West,8,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,1580673,997024,64.0 %,321546,32.3%
6,Ajmer,13,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,1844532,1262214,69.0 %,416424,33.0%
7,Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh 'bhole',Bharatiya Janta Party,1714490,1025314,60.3 %,275142,26.8%
8,Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1757645,1119440,64.2 %,275596,24.6%
9,Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061,1088728,84.3 %,10474,1.0%
10,Alathur,9,SC,Kerala,Ramya Haridas,Indian National Congress,1219063,1018743,84.2 %,158968,15.6%
11,Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar Gautam,Bharatiya Janta Party,1847005,1163184,63.3 %,229261,19.7%
12,Alipurduars,2,ST,West Bengal,John Barla,Bharatiya Janta Party,1527563,1380217,91.7 %,243989,17.7%
13,Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Rita Bahuguna Joshi,Bharatiya Janta Party,1679883,889056,53.4 %,184275,20.7%
14,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611,694472,55.1 %,232986,33.5%
15,Alwar,8,GEN,Rajasthan,Balak Nath,Bharatiya Janta Party,2059180,1265674,61.7 %,329971,26.1%
16,Amalapuram,7,,Andhra Pradesh [2014 Onwards],Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280,1232895,108.1 %,39795,3.2%
17,Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1757524,1316235,75.3 %,342345,26.0%
18,Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Ritesh Pandey,Bahujan Samaj Party,1744287,1090152,63.2 %,95880,8.8%
19,Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Smriti Irani,Bharatiya Janta Party,1703510,942453,55.6 %,55120,5.8%
20,Amravati,7,SC,Maharashtra,Navnit Ravi Rana,Independent,1752097,1112385,63.8 %,36951,3.3%
21,Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1602346,909167,57.8 %,201431,22.2%
22,Amritsar,2,GEN,Punjab,Gurjeet Singh Aujla,Indian National Congress,1468972,859513,59.1 %,99626,11.6%
23,Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kunwar Danish Ali,Bahujan Samaj Party,1596897,1169182,73.6 %,63248,5.4%
24,Anakapalli,5,,Andhra Pradesh [2014 Onwards],Dr.Beesetti Venkata Satyavathi,Yuvajana Sramika Rythu Congress Party,1397335,1238491,91.1 %,89192,7.2%
25,Anand,16,GEN,Gujarat,Patel Mitesh Rameshbhai (BAKABHAI),Bharatiya Janta Party,1614307,1108661,69.8 %,197718,17.8%
26,Anandpur Sahib,6,GEN,Punjab,Manish Tewari,Indian National Congress,1648822,1081727,66.7 %,46884,4.3%
27,Anantapur,19,,Andhra Pradesh [2014 Onwards],Talari Rangaiah,Yuvajana Sramika Rythu Congress Party,1489758,1342306,91.2 %,141428,10.5%
28,Anantnag,3,,Jammu & Kashmir,Hasnain Masoodi,Jammu & Kashmir National Conference,1301023,124896,9.7 %,6676,5.3%
29,Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Kuldeep Rai Sharma,Indian National Congress,269360,207296,77.5 %,1407,0.7%
30,Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kashyap,Bharatiya Janta Party,1750190,1052795,60.7 %,113743,10.8%
31,Arakkonam,7,GEN,Tamil Nadu,S. Jagathrakshakan,Dravida Munetra Kazhagam,1461110,1178060,81.5 %,328956,27.9%
32,Arambagh,29,SC,West Bengal,Aparupa Poddar (AFRIN ALI),All India Trinamool Congress,1631133,1471981,91.5 %,1142,0.1%
33,Arani,12,GEN,Tamil Nadu,Vishnu Prasad M K,Indian National Congress,1407725,1143907,82.5 %,230806,20.2%
34,Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,1469717,1169630,81.0 %,137241,11.7%
35,Arrah,32,GEN,Bihar [2000 Onwards],R. K. Singh,Bharatiya Janta Party,2055316,1080684,53.6 %,147285,13.6%
36,Aruku,1,,Andhra Pradesh [2014 Onwards],Goddeti. Madhavi,Yuvajana Sramika Rythu Congress Party,1358657,1074538,82.6 %,224089,20.9%
37,Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,335682,293781,89.2 %,69948,23.8%
38,Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,458680,358310,78.5 %,174843,48.8%
39,Asansol,40,GEN,West Bengal,Babul Supriyo,Bharatiya Janta Party,1770467,1238135,70.8 %,197637,16.0%
40,Aska,19,GEN,Orissa,Pramila Bisoyi,Biju Janata Dal,1494153,1013862,69.0 %,204707,20.2%
41,Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675,1004888,76.9 %,38247,3.8%
