Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
1,Bapu Rao Soyam,ADILABAD,BJP,52,12th Pass,"Rs 30,99,414  ~ 30 Lacs+","Rs 2,31,450  ~ 2 Lacs+"
2,Satyapal Singh Baghel,AGRA,BJP,5,Doctorate,"Rs 7,42,74,036  ~ 7 Crore+","Rs 86,06,522  ~ 86 Lacs+"
3,Patel Hasmukhbhai Somabhai,AHMEDABAD EAST,BJP,0,Others,"Rs 7,46,99,690  ~ 7 Crore+","Rs 62,52,577  ~ 62 Lacs+"
4,Dr. Solanki Kiritbhai,AHMEDABAD WEST,BJP,0,Post Graduate,"Rs 8,94,74,039  ~ 8 Crore+",Rs 0  ~
5,Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,,
6,Bhagirath Chaudhary,AJMER,BJP,0,12th Pass,"Rs 8,51,01,774  ~ 8 Crore+","Rs 83,19,942  ~ 83 Lacs+"
7,Sanjay Shamrao Dhotre,AKOLA,BJP,1,Graduate Professional,"Rs 7,71,53,230  ~ 7 Crore+","Rs 1,49,85,774  ~ 1 Crore+"
8,A M Ariff,ALAPPUZHA,CPI(M),2,Graduate Professional,"Rs 1,52,68,906  ~ 1 Crore+","Rs 22,20,700  ~ 22 Lacs+"
9,Ramya Haridas,ALATHUR,INC,3,10th Pass,"Rs 11,52,816  ~ 11 Lacs+",Rs 0  ~
10,Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,,
11,John Barla,ALIPURDUARS,BJP,9,8th Pass,"Rs 14,18,730  ~ 14 Lacs+",Rs 0  ~
12,Rita Bahuguna Joshi,ALLAHABAD,BJP,6,Doctorate,"Rs 2,69,19,330  ~ 2 Crore+","Rs 16,00,000  ~ 16 Lacs+"
13,Ajay Tamta,ALMORA,BJP,0,12th Pass,"Rs 99,10,448  ~ 99 Lacs+","Rs 55,845  ~ 55 Thou+"
14,Mahant Balak Nath,ALWAR,BJP,0,10th Pass,"Rs 3,52,929  ~ 3 Lacs+",Rs 0  ~
15,Chinta Anuradha,AMALAPURAM,YSRCP,0,Graduate,,
16,Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,"Rs 5,43,61,499  ~ 5 Crore+","Rs 1,88,861  ~ 1 Lacs+"
17,Ritesh Pandey,AMBEDKAR NAGAR,BSP,1,Graduate,"Rs 30,72,65,121  ~ 30 Crore+","Rs 2,47,39,098  ~ 2 Crore+"
18,Smriti Irani,AMETHI,BJP,0,12th Pass,"Rs 11,10,99,609  ~ 11 Crore+",Rs 0  ~
19,Navneet Ravi Rana,AMRAVATI,IND,1,10th Pass,"Rs 12,45,54,656  ~ 12 Crore+","Rs 7,05,76,979  ~ 7 Crore+"
