,0
0,AITC
1,All India Hindustan Congress Party
2,IND
3,INC
4,BSP
5,AAP
6,BJP
7,SDPI
8,YSRCP
9,TDP
10,Janasena Party
11,Pyramid Party of India
12,Ambedkar National Congress
13,Samaanya Praja Party
14,India Praja Bandhu Party
15,Mundadugu Praja Party
16,Rashtriya Krantikari Samajwadi Party
17,Viduthalai Chiruthaigal Katchi
18,Jana Jagruti Party
19,Praja Shanthi Party
20,Navarang Congress Party
21,CPI(M)
22,B. C. United Front
23,Anna YSR Congress Party
24,SP
25,All India Praja Party
26,Samajwadi Forward Bloc
27,SUCI(C)
28,Navodayam Party
29,RPI(A)
30,Ambedkarite Party of India
31,Vishwa Jana Party
32,CPI(ML)(L)
33,CPI
34,Marxist Communist Party of India (United)
35,National Nava Kranthi Party
36,Navataram Party
37,IUML
38,Rajyadhikara Party
39,Andhra Chaitanya Party
40,Andhra Rastra Praja Samithi
41,CPI(ML) Red Star
42,Rashtriya Praja Congress (Secular)
43,Janapaalana Party (Democratic)
44,Radical Democrats Party
45,RPI(Khobragade)
46,AIFB
47,Rayalaseema Rashtra Samithi
48,National Dalitha Dhal Party
49,Indian Labour Party (Ambedkar Phule)
50,All Peoples Party
51,Hardam Manavtawadi Rashtriya Dal
52,Dalita Bahujana Party
53,Bahujan Maha Party
54,Nava Samaj Party
55,JD(S)
56,NPP
57,Peoples Party of Arunachal
58,Asom Jana Morcha
59,Hindusthan Nirman Dal
60,NCP
61,Purvanchal Janta Party (Secular)
62,AIUDF
63,National Republican Congress
64,Voters Party International
65,Assam Dristi Party
66,Bharatiya Gana Parishad
67,Bahujan Mukti Party
68,Autonomous State Demand Committee
69,Asom Gana Parishad
70,The National Road Map Party of India
71,Bharatiya National Janta Dal
72,Swarna Bharat Party
73,Bodoland Peoples Front
74,"United Peoples Party, Liberal"
75,Sathi Aur Aapka Faisala Party
76,Rashtriya Lok Samta Party
77,RJD
78,Peoples Party of India (Democratic)
79,Bhartiya Dalit Party
80,JD(U)
81,SHS
82,JMM
83,Asli Deshi Party
84,All India Majlis-E-Ittehadul Muslimeen
85,Maanavvaadi Janta Party
86,Jantantrik Vikas Party
87,Pragatishil Samajwadi Party (Lohia)
88,Akhil Bhartiya Mithila Party
89,Bahujan Azad Party
90,Hind Samrajya Party
91,Rashtravadi Janata Party
92,Jan Adhikar Party
93,Bharatiya Jan Kranti Dal (Democratic)
94,Rashtriya Dal United
95,Rajnaitik Vikalp Party
96,Rashtriya Hind Sena
97,Janta Dal Rashtravadi
98,Rashtriya Samta Party (Secular)
99,Aam Adhikar Morcha
100,Hindustani Awam Morcha (Secular)
101,Bharatiya Bahujan Congress
102,Rashtriya mahan Gantantra Party
103,Jai Prakash Janata Dal
104,Akhil Bharatiya Jan Sangh
105,Jammu & Kashmir National Panthers Party
106,Purvanchal Mahapanchayat
107,Suheldev Bhartiya Samaj Party
108,Rashtriya Jansambhavna Party
109,Loktantrik Jan Swaraj Party
110,Shoshit Samaj Dal
111,LJP
112,Bhartiya Mitra Party
113,Moolniwasi Samaj Party
114,Samajwadi Janata Dal Democratic
115,Bajjikanchal Vikas Party
116,Rashtriya Sarvjan Vikas Party
117,Lok Chetna Dal
118,Bihar Lok Nirman Dal
119,Bharatiya Momin Front
120,Lok Jan Vikas Morcha
121,Akhil Hind Forward Bloc (Krantikari)
122,Bhartiya New Sanskar Krantikari Party
123,Rashtriya Janvikas Party (Democratic)
124,Bhartiya Lokmat Rashtrwadi Party
125,Bharatiya Rashtriya Morcha
126,Yuva Krantikari Party
127,Bhartiya Insan Party
128,Rashtra Sewa Dal
129,Bhartiya Kranti Vir Party
130,Baliraja Party
131,Bahujan Nyay Dal
132,Aam Janta Party Rashtriya
133,Janhit Kisan Party
134,Janta Raj Vikas Party
135,Jai Hind Party
136,Kisan Party of India
137,Rashtriya Ulama Council
138,Vikassheel Insaan Party
139,Bharat Prabhat Party
140,Rashtriya Rashtrawadi Party
141,Swaraj Party (Loktantrik)
142,Janata Party
143,Bharatiya Samta Samaj Party
144,Jago Hindustan Party
145,Aap Aur Hum Party
146,Janvadi Party(Socialist)
147,Swatantra Samaj Party
148,Vanchit Samaj Party
149,Public Mission Party
150,National Jagaran Party
151,"Proutist Bloc, India"
152,Jan Adhikar Party (Loktantrik)
153,Moulik Adhikar Party
154,Sankhyanupati Bhagidari Party
155,Rashtrawadi Chetna Party
156,Samagra Utthan Party
157,Rashtriya Pragati Party
158,Aadarsh Mithila Party
159,Sanyukt Vikas Party
160,Lok Sewa Dal
161,Mithilanchal Mukti Morcha
162,Bharatiya Aam Awam Party
163,Akhil Bhartiya Apna Dal
164,Apna Kisan Party
165,Bharat Nirman Party
166,Bharat Bhrashtachar Mitao Party
167,RPI
168,Garib Janshakti Party
169,Proutist Sarva Samaj
170,Revolutionary Socialist Party of India(Marxis
171,Sapaks Party
172,Wazib Adhikar Party
173,Rashtriya Sahyog Party
174,Chandigarh Ki Aawaz Party
175,Sarvjan Sewa Party
176,Hindustan Shakti Sena
177,Rashtriya Lokswaraj Party
178,Bhartiya Kisan Party
179,Bhartiya Jan Samman Party
180,Bhartiya Rashtrawadi Party
181,Janral Samaj Party
182,Bhartiya Manavadhikaar Federal Party
183,Samaj Adhikar Kalyan Party
184,Bahujan Samaj Party (Ambedkar)
185,Rashtriya Jankranti Party
186,Gondvana Gantantra Party
187,Bharatiya Bahujan Party
188,Rashtriya Jansabha Party
189,Bhartiya Shakti Chetna Party
190,Sarvodaya Bharat Party
191,Sarvadharam Party
192,Kisan Mazdoor Sangharsh Party
193,Bhartiya Tribal Party
194,Forward Democratic Labour Party
195,Akhil Bharat Samagra Kranti Party
196,Rashtriya Gondvana Party
197,Sunder Samaj Party
198,Bharatiya Prajatantrik Shudh Gandhiwadi Krish
199,Swabhiman Party
200,Republican Paksha (Khoripa)
201,Chhattisgarh Swabhiman Manch
202,Bhartiya Panchyat Party
203,Bharat Bhoomi Party
204,Adhikar Vikas Party
205,Bhartiya Sarvjan Hitey Samaj Party
206,Shakti Sena (Bharat Desh)
207,Chhattisgarh Vikas Ganga Rashtriya Party
208,Navsarjan Bharat Party
209,Republican Party of India (Kamble)
210,Yuva Jan Jagriti Party
211,Gujarat Janta Panchayat Party
212,Right to Recall Party
213,Rashtriya Samajwadi Party (Secular)
214,Rashtriya Power Party
215,Real Democracy Party
216,Vyavastha Parivartan Party
217,New All India Congress Party
218,Manvadhikar National Party
219,Nirbhay Bharteey Party
220,Sardar Vallabhbhai Patel Party
221,Bahujan Republican Socialist Party
222,Svatantra Bharat Satyagrah Party
223,Yuva Sarkar
224,Rashtriya Samaj Paksha
225,Jan Satya Path Party
226,Garvi Gujarat Party
227,Rashtra Vikas Zumbes Party
228,Jan Sangharsh Virat Party
229,Lok Gathbandhan Party
230,Bahujan Suraksha Dal
231,Apna Desh Party
232,Bharatiya Rashtravadi Paksha
233,Prajatantra Aadhar Party
234,Rashtriya Nav Nirman Bharat Party
235,Loktantrik Rashrtavadi Party
236,Jai Jawan Jai Kisan Party
237,Aapki Apni Party (Peoples)
238,INLD
239,Bhartiya Janraj Party
240,Rashtra Nirman Party
241,AARAKSHAN VIRODHI PARTY
242,Jannayak Janta Party
243,Voters Party
244,Daksha Party
245,Adim Bhartiya Dal
246,Aadarsh Janata Sewa Party
247,Navnirman Party
248,Mahila & Yuva Shakti Party
249,Rashtriya Mazdoor Ekta Party
250,Rashtriya Vikas Party
251,Lokpriya Samaj Party
252,Rashtriya Bhagidari Samaj Party
253,Tola Party
254,Loktanter Suraksha Party
255,Revolutionary Marxist Party of India
256,Samajik Nyaya Party
257,Rashtriya Sahara Party
258,Hind Congress Party
259,Dalit Soshit Pichhara Varg Adhikar Dal
260,Rashtriya Jatigat Aarakshan Virodhi Party
261,Rashtriya Garib Dal
262,Satya Bahumat Party
263,Rashtriya Azad Manch
264,Navbharat Ekta Dal
265,Himachal Jan Kranti Party
266,Jammu & Kashmir Peoples Democratic Party
267,Peoples Democratic Party
268,Jammu & Kashmir People Conference
269,Jammu & Kashmir National Conference
270,Dogra Swabhiman Sangathan Party
271,Jammu & Kashmir Pir Panjal Awami Party
272,Independent Peoples Party
273,Sadan Vikas Party
274,Hum Bhartiya Party
275,Rashtriya Jansangharsh Swaraj Party
276,Jharkhand Party
277,Bhartiya Lok Seva Dal
278,Uttar Pradesh Navnirman Sena
279,Amra Bangalee
280,Pichhara Samaj Party United
281,Vishva SHakti Party
282,Jharkhand Vikas Morcha (Prajatantrik)
283,Aihra National Party
284,AJSU Party
285,Janata Congress
286,Kalinga Sena
287,Bhartiya Azad Sena
288,Jharkhand Mukti Morcha (Ulgulan)
289,Jharkhand Party (Secular)
290,Bharatiya Minorities Suraksha Mahasangh
291,Jharkhand Peoples Party
292,Bhartiya Sarvodaya Party
293,Akhil Bharat Hindu Mahasabha
294,Jharkhand Party (Naren)
295,Rashtriya Sangail Party
296,Karnataka Pragnyavantha Janatha Party
297,Akhil Bharatiya Muslim League (Secular)
298,Uttama Prajaakeeya Party
299,Karnataka Karmikara Paksha
300,Sarva Janata Party
301,Bharipa Bahujan Mahasangh
302,Ambedkar Samaj Party
303,Indian New Congress Party
304,Secular Democratic Congress
305,Marxist Leninist Party of India (Red Flag)
306,Republican Sena
307,Samajwadi Janata Party(Karnataka)
308,Indian Christian Front
309,Democratic Prajakranthi Party Secularist
310,Karnataka Jantha Paksha
311,Bharatiya Prajagala Kalyana Paksha
312,Praja Satta Party
313,National Development Party
314,Raita Bharat Party
