election_year,State,Constituency,constituency_type,Party,Candidate,EVM_votes,Postal Votes,Total Votes,rank,units,Age,Gender
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bharatiya Janata Party,BISHNU PADA RAY,102182.0,254.0,102436.0,1,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Indian National Congress,KULDEEP RAI SHARMA,77829.0,211.0,78040.0,2,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Andaman Nicobar Democratic Congress,MANOJ PAUL,8236.0,18.0,8254.0,3,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Communist Party of India (Marxist),D AYYAPPAN,6009.0,8.0,6017.0,4,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,V.K. ABDUL AZIZ,2195.0,8.0,2203.0,5,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,All India Anna Dravida Munnetra Kazhagam,K J B SELVARAJ,911.0,3.0,914.0,7,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Bahujan Samaj Party,DR ARUN KUMAR MALLIK,714.0,5.0,719.0,8,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,RINKU MALA MONDAL,539.0,3.0,542.0,9,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,K VENKAT RAM BABU,506.0,1.0,507.0,10,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,USHA KUMARI,378.0,2.0,380.0,11,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Socialist Unity Centre Of India (COMMUNIST),SALAMAT MONDAL,349.0,2.0,351.0,12,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andaman and Nicobar Islands,Andaman & Nicobar Islands,General,Independent,ANAND RAMNATH ARLEKAR,342.0,,342.0,13,"EVM_votes, postal_votes, total_votes in absolute number",,
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,471470.0,5535.0,477005.0,1,"EVM_votes, postal_votes, total_votes in absolute number",31.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharatiya Janata Party,KOTHAPALLI GEETHA,417113.0,9312.0,426425.0,2,"EVM_votes, postal_votes, total_votes in absolute number",53.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Communist Party of India (Marxist),APPALANARASA PACHIPENTA,119016.0,4113.0,123129.0,3,"EVM_votes, postal_votes, total_votes in absolute number",41.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bahujan Samaj Party,AVASHYA LAHARI . VARAM,24858.0,892.0,25750.0,5,"EVM_votes, postal_votes, total_votes in absolute number",30.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,SAMAREDDY BALAKRISHNA,9493.0,42.0,9535.0,6,"EVM_votes, postal_votes, total_votes in absolute number",48.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,NIMMAKA JAYARAJU,8798.0,664.0,9462.0,7,"EVM_votes, postal_votes, total_votes in absolute number",64.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,ATHIDHI,8121.0,15.0,8136.0,8,"EVM_votes, postal_votes, total_votes in absolute number",32.0,F
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Jai Bharat National Party,CHANTI BADNAINA,7205.0,47.0,7252.0,9,"EVM_votes, postal_votes, total_votes in absolute number",28.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Bharat Adivasi Party,MOTTADAM . RAJABABU,6370.0,396.0,6766.0,10,"EVM_votes, postal_votes, total_votes in absolute number",47.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,RANJITH KUMAR PALAKA,6000.0,47.0,6047.0,11,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Telugu Rajadhikara Samiti Party,RAMBABU JALLI,4933.0,26.0,4959.0,13,"EVM_votes, postal_votes, total_votes in absolute number",45.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,Independent,MANDALA GIRIDHARA RAO,4931.0,36.0,4967.0,12,"EVM_votes, postal_votes, total_votes in absolute number",42.0,M
2024,Andhra Pradesh,Araku (ST),Scheduled Tribe,India Praja Bandhu Party,VUYAKA NIREEKSHAN (V. CHENCHU),4500.0,42.0,4542.0,14,"EVM_votes, postal_votes, total_votes in absolute number",43.0,M
2024,Andhra Pradesh,Srikakulam,General,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,734501.0,19827.0,754328.0,1,"EVM_votes, postal_votes, total_votes in absolute number",36.0,M
2024,Andhra Pradesh,Srikakulam,General,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,420394.0,6033.0,426427.0,2,"EVM_votes, postal_votes, total_votes in absolute number",50.0,M
2024,Andhra Pradesh,Srikakulam,General,Indian National Congress,PEDADA PARAMESWARA RAO,6724.0,448.0,7172.0,4,"EVM_votes, postal_votes, total_votes in absolute number",59.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,SANAPALA SRAVAN KUMAR,5950.0,8.0,5958.0,5,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Srikakulam,General,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,4661.0,81.0,4742.0,6,"EVM_votes, postal_votes, total_votes in absolute number",40.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,VABA YOGESWARA RAO,3472.0,126.0,3598.0,7,"EVM_votes, postal_votes, total_votes in absolute number",39.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,BETHA VIVEKANANDA MAHARAJ,2523.0,13.0,2536.0,8,"EVM_votes, postal_votes, total_votes in absolute number",38.0,M
2024,Andhra Pradesh,Srikakulam,General,Independent,YEDDU LAKSHMINARAYANA,1598.0,7.0,1605.0,9,"EVM_votes, postal_votes, total_votes in absolute number",66.0,M
2024,Andhra Pradesh,Srikakulam,General,Bharatha Chaitanya Yuvajana Party,BORUBADRA CHANDRAKALA,1315.0,42.0,1357.0,10,"EVM_votes, postal_votes, total_votes in absolute number",37.0,F
2024,Andhra Pradesh,Srikakulam,General,Jai Bharat National Party,IPPILI SEETHARAJU,1080.0,50.0,1130.0,11,"EVM_votes, postal_votes, total_votes in absolute number",47.0,M
